,Clinton,Trump
hillary clinton,0.757433231376,1.32024838438
him,0.625067529239,1.59982714382
his,1.56249072101,0.640003800696
his or,0.777530747401,1.28612277179
his or her,0.724197499321,1.38083879182
hispanics,0.125594637676,7.96212337171
history of,0.352403640828,2.8376551322
history of the,1.08737250669,0.919648045033
hit,0.290553412906,3.44170798064
hold,2.50905983984,0.398555659822
holding,1.64580760005,0.607604436855
home,1.28008339905,0.781199100578
home in,1.56417946311,0.639312830517
home in america,1.02526984968,0.975352976892
homes,5.63782110769,0.177373488959
hope,1.72545626666,0.579556850741
hope that,2.5470553585,0.392610233877
hope you,1.31284606419,0.761703924989
hope you will,4.44511192364,0.22496621394
horrible,0.287383891203,3.479666156
house,1.30921915259,0.763814062771
how,1.55874481141,0.641541830759
how do we,2.74557339771,0.364222643195
how hard,1.58255188241,0.631890815785
how to,0.373700489809,2.67593976264
how we,1.97574027382,0.506139401646
human rights,3.01965612859,0.331163535653
husband,1.84099395165,0.543184837247
i also,1.03710836803,0.964219391938
i also want,1.1943137187,0.83730094057
i am,1.10630738113,0.903907916605
i believe,2.63173086866,0.379978063832
i believe we,0.411831088752,2.42817996823
i can to,1.38915320994,0.719863002041
i didn,0.886614238559,1.12788624016
